Drop Off Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Comment Sentiments,Comments or Feedback,Routes Completed,Doors in Route,Time Spent
Londonderry Chapel,Bonnie Doon Stake,1,3,14,25,No,Clareview Ward,Neutral,No Comments,2,14,25
Gateway Stake Centre,Gateway Stake,3,1,18,25,Yes,Crawford Plains Ward,Neutral,No Comments,2,144,30
Gateway Stake Centre,Gateway Stake,2,0,20,30,No,Silver Berry Ward,Neutral,No Comments,2,186,30
Gateway Stake Centre,Gateway Stake,2,1,20,25,Yes,Crawford Plains Ward,Neutral,No Comments,1,195,30
Londonderry Chapel,Bonnie Doon Stake,1,0,2,5,No,Londonderry Ward,Neutral,No Comments,2,1,141
Bearspaw Chapel,Gateway Stake,2,0,20,20,No,Blackmud Creek Ward,Neutral,No Comments,2,179,20
Gateway Stake Centre,Gateway Stake,1,4,17,25,No,Lee Ridge Ward,Neutral,No Comments,2,141,22
Londonderry Chapel,Bonnie Doon Stake,2,0,32,45,No,Londonderry Ward,Neutral,No Comments,2,27,141
Londonderry Chapel,Bonnie Doon Stake,2,0,100,5,Yes,Londonderry Ward,Neutral,No Comments,2,200,49
Bearspaw Chapel,Bonnie Doon Stake,2,3,15,45,No,Southgate Ward,Neutral,No Comments,2,13,35
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,30,30,No,Connors Hill Ward,Neutral,No Comments,2,195,30
Londonderry Chapel,Bonnie Doon Stake,1,0,17,60,No,Clareview Ward,Neutral,No Comments,2,110,141
Londonderry Chapel,Bonnie Doon Stake,3,2,20,40,No,Londonderry Ward,Negative,Route bowen: 41-113,2,107,40
Coronation Park Chapel,Bonnie Doon Stake,2,1,25,55,No,Coronation Park Ward,Neutral,No Comments,2,20,55
Londonderry Chapel,Bonnie Doon Stake,2,3,24,45,Yes,Clareview Ward,Neutral,No Comments,3,250,45
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,5,10,60,No,Connors Hill Ward,Positive,it was good,2,184,60
Londonderry Chapel,Bonnie Doon Stake,2,2,12,30,No,Londonderry Ward,Neutral,No Comments,2,12,141
Londonderry Chapel,Bonnie Doon Stake,2,0,30,45,Yes,Londonderry Ward,Neutral,No Comments,2,195,60
Londonderry Chapel,Bonnie Doon Stake,2,0,16,25,No,Londonderry Ward,Negative,Route 1,2,98,25
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,10,20,Yes,Forest Heights Ward,Negative,half of the route had no flyer signs,2,120,20
Coronation Park Chapel,Bonnie Doon Stake,2,0,20,60,No,Coronation Park Ward,Neutral,No Comments,2,96,60
Gateway Stake Centre,Gateway Stake,5,0,29,55,No,Silver Berry Ward,Neutral,No Comments,2,19,30
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,40,30,No,Forest Heights Ward,Neutral,No Comments,2,200,45
Coronation Park Chapel,Bonnie Doon Stake,2,0,18,63,No,Coronation Park Ward,Neutral,No Comments,2,140,63
Gateway Stake Centre,Gateway Stake,2,3,21,30,No,Silver Berry Ward,Neutral,No Comments,2,1,32
Bearspaw Chapel,Gateway Stake,5,3,24,40,No,Lee Ridge Ward,Neutral,No Comments,2,157,40
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,40,180,Yes,Connors Hill Ward,Negative,We had 2 routes,2,375,60
Gateway Stake Centre,Gateway Stake,3,0,35,30,No,Silver Berry Ward,Neutral,No Comments,2,250,63
Gateway Stake Centre,Gateway Stake,2,0,15,25,No,Crawford Plains Ward,Neutral,No Comments,2,116,25
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,30,30,No,Forest Heights Ward,Neutral,no comments,2,115,30
Londonderry Chapel,Bonnie Doon Stake,1,1,36,45,No,Clareview Ward,Negative,An extra bag of rice not labelled,2,15,141
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,15,30,No,Forest Heights Ward,Neutral,No Comments,2,90,38
North Stake Centre,Edmonton North Stake,2,1,21,45,No,Griesbach Ward,Neutral,No Comments,2,206,45
Gateway Stake Centre,Gateway Stake,2,3,21,32,No,Silver Berry Ward,Neutral,No Comments,2,202,32
North Stake Centre,Edmonton North Stake,1,1,23,45,No,Griesbach Ward,Neutral,No Comments,2,206,45
Riverbend Stake Centre,Riverbend Stake,2,0,30,50,No,Greenfield Ward,Negative,There were lots of homes with the bags in their mailboxes,2,172,50
Londonderry Chapel,Bonnie Doon Stake,2,0,24,30,No,Clareview Ward,Neutral,156,2,23,141
Coronation Park Chapel,Bonnie Doon Stake,2,0,5,32,No,Coronation Park Ward,Neutral,No Comments,2,302,39
North Stake Centre,Edmonton North Stake,2,3,29,60,No,Griesbach Ward,Neutral,No Comments,2,107,60
Gateway Stake Centre,Gateway Stake,1,0,20,20,No,Crawford Plains Ward,Neutral,No Comments,2,100,20
Londonderry Chapel,Bonnie Doon Stake,2,1,17,30,No,Londonderry Ward,Neutral,No Comments,2,182,141
Londonderry Chapel,Bonnie Doon Stake,3,0,15,45,Yes,Londonderry Ward,Negative,"Routes 34, 29",2,200,51
North Stake Centre,Edmonton North Stake,2,2,24,30,No,Griesbach Ward,Neutral,No Comments,2,20,30
Gateway Stake Centre,Gateway Stake,2,0,26,45,No,Crawford Plains Ward,Neutral,No Comments,2,150,40
Gateway Stake Centre,Gateway Stake,3,0,24,35,No,Silver Berry Ward,Positive,It' was a good gig.,2,194,40
