How did you receive the form?,Drop Off Location for year 2024,Stake for year 2024,Time Spent Collecting Donations,# of Adult Volunteers for year 2024,# of Youth Volunteers for year 2024,Doors in Route for year 2024,Donation Bags Collected for the year 2024,Completed More Than One Route for year 2024,How many routes did you complete? for year 2024,Comment Sentiments for year 2024,Comments or Feedback for year 2024,COMBINED STAKES
In person,Bearspaw Chapel,Riverbend Stake,0 - 30 Minutes,7,7,78,599,No,1,Neutral,No Comments,Woodbend Ward
In person,Bearspaw Chapel,Riverbend Stake,0 - 30 Minutes,7,7,78,599,No,1,Neutral,No Comments,Woodbend Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,0,1,1,No,1,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,2,2,20,20,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,2,20,15,No,1,Neutral,No Comments,Forest Heights Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,144,25,Yes,2,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,0,230,21,No,1,Neutral,No Comments,Silver Berry Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,0,75,7,No,1,Neutral,No Comments,Forest Heights Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,280,32,Yes,2,Negative,Route 2 included with route 1 numbers,Crawford Plains Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,3,21,23,No,1,Neutral,No Comments,Londonderry Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,3,45,15,No,1,Positive,Everything was good. Paper bags were better than plastic. ,Woodbend Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,4,172,18,No,1,Positive,"good participation from our route, smooth process",Woodbend Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,0,135,26,No,1,Negative,A lot of time spent delivering bags in the week about an hour,Blackmud Creek Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,4,0,30,No,1,Neutral,No Comments,Connors Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,0,18,18,No,1,Neutral,No Comments,Londonderry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,1,10,12,No,1,Neutral,No Comments,Londonderry Ward
via Email,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,3,36,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,3,4,117,30,No,1,Positive,Its fun and it helps,Silver Berry Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,1,125,7,No,1,Negative,"Router seems to be declining, quite a few houses with no flyer/junk mail… should deliver to them anyway.",Forest Heights Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,1,12,20,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,2,0,236,16,No,1,Neutral,No Comments,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,3,2,50,8,No,1,Positive,Great experience. ,Woodbend Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,3,215,38,No,1,Neutral,No Comments,Griesbach Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,3,0,340,30,Yes,3,Neutral,No Comments,Crawford Plains Ward
In person,Bonnie Doon Stake Centre,YSA Stake,30 - 60 Minutes,3,0,66,15,No,1,Neutral,No Comments,Mill Creek YSA Ward
In person,Bonnie Doon Stake Centre,YSA Stake,30 - 60 Minutes,1,0,208,12,No,1,Neutral,No Comments,Whitemud Creek YSA Ward
In person,Bearspaw Chapel,Riverbend Stake,30 - 60 Minutes,2,0,174,23,No,1,Positive,It was a good experience ,Rutherford Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,0,100,12,No,1,Negative,"We're actually in the Strathcona Married Student Ward, but they was not an option from the drop down menu.",Forest Heights Ward
In person,Bonnie Doon Stake Centre,YSA Stake,30 - 60 Minutes,1,0,208,12,No,1,Neutral,No Comments,Whitemud Creek YSA Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,2,167,20,No,1,Positive,It was hype,Forest Heights Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,0,100,10,No,1,Positive,great experience ,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,1,2,100,6,No,1,Neutral,No Comments,Woodbend Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,2,30,22,No,1,Neutral,No Comments,Clareview Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,1,148,28,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,0 - 30 Minutes,1,0,177,12,No,1,Negative,Not sure about # of routes,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,1,2,169,11,No,1,Neutral,No Comments,Rutherford Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,3,7,10,No,1,Neutral,No Comments,Londonderry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,2+ Hours,2,0,40,15,No,1,Negative,It was better last year,Londonderry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,0,60,17,No,1,Neutral,No Comments,Londonderry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,4,0,116,50,Yes,2,Positive,It was amazing! Glad were able to help,Crawford Plains Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,2,99,24,No,1,Neutral,No Comments,Clareview Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,2,161,56,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,2,75,8,No,1,Positive,Loved the paper bags - easier to distribute and pick up. Consider leaving extra bags with local businesses in each pick up area for added promotion and awareness for residents (who may have a no flyer sign) to grab a bag. ,Connors Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,13,14,No,1,Positive,Yellow bags were better ,Londonderry Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,0,170,30,No,1,Neutral,No Comments,Lee Ridge Ward
